country,year,coercion_attempted,coercion_succeeded,trigger,target_sectors,notes,source
JPN,2010,1,0,"Senkaku Islands trawler incident","rare_earths","REE export curbs; Japan diversified within 4 years","Reynolds & Goodman 2023 CSIS App. A; Drezner 2009"
NOR,2010,1,1,"Liu Xiaobo Nobel Peace Prize","salmon","6-year informal salmon import freeze; relations normalized 2016","Reynolds & Goodman 2023; Kolstad 2020"
PHL,2012,1,0,"Scarborough Shoal standoff","bananas,tourism","Quarantine of Philippine bananas; tourism advisory","Reynolds & Goodman 2023; ECFR 2022"
MNG,2016,1,1,"Dalai Lama visit","copper_transit,coal","Border-crossing fees raised; capitulated within weeks","Reynolds & Goodman 2023; Reilly 2021"
KOR,2017,1,0,"THAAD missile defense deployment","tourism,Lotte,EV_batteries,kpop","Tourism halt, Lotte forced out; THAAD remained","Reynolds & Goodman 2023; Glaser 2021 CSIS; Wong 2021"
PLW,2017,1,0,"Diplomatic recognition of Taiwan","tourism","Tourism designations frozen; Palau retained recognition","Reynolds & Goodman 2023; ECFR 2022"
CAN,2018,1,0,"Meng Wanzhou arrest","canola,pork,beef","Canola import bans; bilateral détente only 2021","Reynolds & Goodman 2023; Harrell et al. 2018"
SWE,2019,1,0,"Gui Minhai detention; PEN free speech award","market_access,threats","Diplomatic threats; informal coercion","Reynolds & Goodman 2023; ECFR 2022"
AUS,2020,1,0,"COVID origin inquiry; Huawei 5G ban","barley,beef,coal,wine,lobster,cotton,timber","13+ products targeted; AUS did not reverse policy","Reynolds & Goodman 2023; Glaser 2021 CSIS"
LTU,2021,1,0,"Taiwanese Representative Office opening","customs,supply_chain_delisting","De facto trade blockade; Lithuania did not reverse","Reynolds & Goodman 2023; ECFR 2022; Hackenbroich 2022"
TWN,2019,1,0,"various cross-strait tensions","tourism,fruit,fishery","Tourism caps and fruit bans","Reynolds & Goodman 2023; ASPI Coercion Tracker"
VNM,2017,1,1,"South China Sea oil exploration (Repsol)","oil_exploration","Vietnam canceled Repsol contract under PRC pressure","Reynolds & Goodman 2023; Hayton 2018"
JPN,2023,1,0,"Fukushima treated-water release","seafood","Wholesale ban on Japanese seafood","Reynolds & Goodman 2023 update; ECFR 2024"
KOR,2022,0,0,"baseline","none","No major coercion event; THAAD legacy effects only","Negative case"
DEU,2019,0,0,"baseline","none","High dependence, no formal coercion event","Negative case (Mastro 2022)"
DEU,2022,0,0,"baseline","none","High dependence, no formal coercion event","Negative case"
SGP,2018,0,0,"baseline","none","High but balanced exposure; no coercion","Negative case (Reilly 2021)"
SGP,2020,0,0,"baseline","none","No coercion event","Negative case"
BRA,2018,0,0,"baseline","none","Moderate dependence, no coercion","Negative case"
BRA,2021,0,0,"baseline","none","No coercion event","Negative case"
ZAF,2019,0,0,"baseline","none","Moderate dependence, no coercion","Negative case"
KHM,2019,0,0,"baseline","none","High dependence + alignment; no coercion","Negative case"
THA,2020,0,0,"baseline","none","Moderate dependence, no coercion","Negative case"
IDN,2021,0,0,"baseline","none","Moderate dependence, no coercion","Negative case"
MEX,2020,0,0,"baseline","none","Low dependence; no coercion","Negative case"
IND,2020,1,0,"Galwan Valley clash","apps,investment","Limited tit-for-tat; India retaliated harder","Reynolds & Goodman 2023; ASPI 2022"
CZE,2020,1,0,"Senate President Vystrcil Taiwan visit","piano_imports,Skoda_threats","Threatened, limited follow-through","Reynolds & Goodman 2023; ECFR 2022"
USA,2018,1,0,"Section 301 tariffs (mutual)","soybeans,LNG","Retaliatory; outside coercion typology proper","Reynolds & Goodman 2023 (excluded from primary set)"
